provider_id,total_reimbursement_amount
010001,73643171
010005,27986286
010006,40555419
010007,5392342
010008,2395403
010011,41560243
010012,11016190
010016,28182845
010018,212365
010019,20216684
010021,6758108
010022,2441789
010023,56076178
010024,39267844
010025,7222437
010027,94339
010029,47222910
010032,1882347
010033,212749894
010034,4980536
010035,25999645
010036,8069698
010038,9930238
010039,157761422
010040,45434090
010043,71985
010044,2359779
010045,4105610
010046,25496661
010047,1729694
010049,6578682
010050,1796874
010051,1227921
010052,2072988
010054,4898436
010055,37046762
010056,56101330
010058,767761
010059,3492814
010061,8384884
010062,5255359
010065,11275352
010066,391182
010069,5439284
010073,3775313
010078,39625619
010079,12160945
010083,14320822
010085,27991806
010086,5724113
010087,18077937
010089,20788842
010090,43316079
010091,2729375
010092,122316812
010095,900474
010097,1773017
010099,3609578
010100,22516780
010101,7782777
010102,558730
010103,52335293
010104,44714792
010108,5297941
010109,4824910
010110,3020978
010112,6261340
010113,83841917
010114,18185350
010118,21352817
010120,2414538
010125,5404809
010126,4155864
010128,848292
010129,4179117
010130,3759718
010131,28335748
010138,837254
010139,56206818
010144,24335241
010146,4726776
010148,4338573
010149,15404918
010150,4958642
010152,199035
010157,14936447
010158,5685072
010164,10751223
010168,11567793
010169,3851661
011300,369514
011302,517896
011304,455108
012006,6845951
012007,9915013
012008,9133775
012009,7764614
012010,10199033
012011,8324326
012012,8094506
012013,2808334
013025,32176906
013027,3412462
013028,20266183
013029,20201613
013030,13807387
013032,13141927
013033,16894080
013300,1019795
013301,399843
014000,964427
014006,511552
014007,801025
014008,498331
014009,1489725
014012,3675973
014014,43311
014016,2880909
014018,3161662
020001,77288584
020006,19547727
020008,6886683
020012,23895633
020017,28349188
020024,10123284
020026,27618568
020027,2038803
021301,647385
021302,393631
021303,1258176
021304,518526
021305,545596
021306,2384983
021307,134431
021308,2195281
021310,1953815
021311,4716919
021313,3461782
022001,12411875
024002,2392424
030001,6699689
030002,94793004
030006,78013009
030007,26271364
030010,36965620
030011,42467257
030012,33393932
030013,59643318
030014,43201649
030016,19096167
030022,24158101
030023,79969563
030024,101636678
030030,35939557
030033,10107262
030036,46657107
030037,22707215
030038,51104655
030043,14636990
030055,36464899
030061,65958467
030062,16387704
030064,89668639
030065,58832889
030067,3847041
030068,4568520
030069,35390703
030071,4359991
030073,5800020
030074,226356
030077,161367
030078,2821245
030083,8200549
030084,3803119
030085,44708347
030087,54162582
030088,60450439
030089,57198940
030092,25347078
030093,50693154
030094,25377803
030100,623961
030101,26957821
030103,87187982
030105,28072558
030107,3951180
030108,3943498
030110,17605005
030111,16891644
030112,3254222
030113,1339128
030114,20307147
030115,26995459
030117,10660158
030118,9632541
030119,29530289
030120,1405039
030121,32567992
030122,21531356
030123,19264341
030126,5222573
030130,2359751
030131,13706091
030132,1075251
031300,1191780
031301,973457
031302,882215
031303,392854
031304,486331
031305,1130348
031309,1685569
031311,1483840
031312,441740
031313,375763
031314,4844864
031315,1124454
032000,14899289
032001,7828563
032002,6811510
032004,6413811
032005,12726130
032006,9163339
032007,8091655
032008,5639705
033025,13517154
033028,17006262
033029,13259264
033032,15517674
033034,13591776
033036,14627527
033037,13100725
033302,1224481
034004,965996
034013,4324679
034022,1147027
034023,581054
034024,2123966
034025,392247
034026,7359599
040001,4417270
040002,7668199
040004,45667646
040007,92745856
040010,27025416
040011,5156263
040014,44689513
040015,7071976
040016,85756465
040017,13604963
040018,2964792
040019,3919211
040020,66533748
040022,39735533
040026,48643590
040027,41691061
040029,27824812
040036,50466363
040039,15927130
040041,18868659
040042,14155670
040047,3787766
040050,4521949
040051,4284123
040055,63182763
040062,41734076
040067,3560446
040069,4196056
040071,37109269
040072,4326290
040074,6871354
040076,4859911
040078,30000502
040080,5513797
040084,19105123
040085,4176648
040088,19324035
040114,102484543
040118,24618936
040119,36633135
040132,1642033
040134,43790247
040137,4253898
040147,14797856
040152,4211010
040153,3335158
041300,565527
041302,3227380
041303,1566289
041304,686607
041305,931038
041306,924464
041307,2067082
041308,1531434
041309,962474
041310,2931630
041311,1155309
041312,2275889
041313,1165349
041314,1302805
041316,1305700
041317,682233
041318,1089618
041319,3359793
041320,1275862
041321,2235763
041322,1508680
041323,4355479
041324,2219234
041326,1256068
041327,2801079
041328,2115696
041329,1601713
041330,1571767
041331,1896170
042000,10182436
042004,4148979
042006,11365527
042008,5879312
042009,10578634
042010,8560157
042011,5451359
042012,7096819
043026,13714384
043028,15475147
043029,18114452
043031,18993736
043032,14159988
043033,4840110
043034,2887594
043300,1417041
044004,3556187
044005,5156826
044006,1516646
044007,1125264
044011,3110342
044019,3566108
044020,457749
050002,36476793
050006,41206216
050007,53414550
050008,22466086
050009,47810466
050013,43678815
050014,13076393
050016,11020147
050017,88988586
050018,14806287
050022,63418379
050024,49188695
050025,142957959
050026,102637627
050028,4469259
050030,48083062
050036,43535944
050038,64448820
050039,88811896
050040,10193796
050042,12204657
050043,80544083
050045,25577751
050046,3041744
050047,102055872
050054,7431488
050055,16094400
050056,53968023
050057,94264267
050058,51721407
050060,132199279
050063,68360150
050067,3210215
050069,61275384
050070,2726154
050071,22773796
050072,5729454
050073,9285185
050075,19560841
050076,15319830
050077,110175736
050078,21865933
050079,33792242
050082,55991805
050084,70787376
050089,14393731
050090,8016267
050091,5954234
050093,109248422
050096,629104
050099,39327016
050100,80640441
050101,20355590
050102,23809341
050103,62746533
050104,37431678
050107,52234497
050108,134467999
050110,7563218
