provider_id,corrected_fy_2015_readmissions_adjustment_factor
010001,0.9968
010005,0.9929
010006,1.0000
010007,0.9961
010008,0.9990
010011,0.9965
010012,0.9927
010016,0.9918
010018,1.0000
010019,0.9989
010021,0.9913
010022,1.0000
010023,0.9933
010024,0.9956
010025,0.9978
010027,1.0000
010029,0.9927
010032,0.9903
010033,0.9939
010034,0.9992
010035,0.9909
010036,1.0000
010038,0.9921
010039,0.9998
010040,0.9889
010043,0.9986
010044,1.0000
010045,0.9897
010046,0.9862
010047,0.9939
010049,0.9918
010050,1.0000
010051,0.9976
010052,0.9943
010054,0.9932
010055,0.9981
010056,0.9841
010058,0.9961
010059,0.9966
010061,0.9924
010062,1.0000
010065,0.9968
010066,0.9970
010069,0.9965
010073,0.9922
010078,0.9929
010079,0.9991
010083,0.9910
010085,0.9965
010086,0.9972
010087,1.0000
010089,0.9865
010090,0.9908
010091,1.0000
010092,0.9876
010095,1.0000
010097,0.9982
010099,0.9915
010100,0.9966
010101,0.9979
010102,1.0000
010103,1.0000
010104,0.9950
010108,0.9857
010109,0.9955
010110,1.0000
010112,0.9980
010113,0.9902
010114,0.9960
010118,0.9904
010120,1.0000
010125,0.9979
010126,0.9943
010128,0.9987
010129,0.9989
010130,0.9807
010131,0.9920
010137,1.0000
010138,1.0000
010139,0.9965
010144,0.9915
010146,0.9942
010148,0.9788
010149,0.9961
010150,1.0000
010152,1.0000
010157,0.9962
010158,0.9855
010164,0.9987
010168,0.9997
010169,0.9920
020001,1.0000
020006,0.9908
020008,0.9873
020012,0.9993
020017,1.0000
020018,1.0000
020024,0.9859
020026,0.9951
020027,1.0000
030001,0.9985
030002,0.9980
030006,0.9986
030007,1.0000
030010,1.0000
030011,0.9982
030012,0.9993
030013,0.9935
030014,0.9954
030016,0.9837
030022,1.0000
030023,1.0000
030024,0.9997
030030,0.9988
030033,0.9802
030036,0.9979
030037,0.9999
030038,1.0000
030043,0.9907
030055,0.9968
030061,0.9980
030062,0.9982
030064,0.9957
030065,0.9940
030068,0.9884
030069,0.9997
030071,0.9986
030073,0.9877
030074,1.0000
030077,1.0000
030078,0.9997
030083,0.9983
030084,0.9989
030085,0.9991
030087,1.0000
030088,0.9960
030089,0.9914
030092,0.9975
030093,0.9928
030094,0.9988
030100,0.9983
030101,0.9908
030103,0.9996
030105,0.9998
030107,0.9700
030108,0.9946
030110,0.9949
030111,0.9999
030112,0.9700
030113,1.0000
030114,0.9966
030115,0.9907
030117,0.9747
030118,0.9969
030119,0.9972
030120,0.9985
030121,0.9870
030122,0.9989
030123,1.0000
030126,0.9985
030130,1.0000
030131,1.0000
030132,1.0000
030134,1.0000
040001,0.9964
040002,0.9941
040004,1.0000
040007,0.9937
040010,1.0000
040011,0.9817
040014,0.9845
040015,1.0000
040016,0.9975
040017,0.9921
040018,0.9855
040019,0.9956
040020,0.9945
040022,0.9917
040026,1.0000
040027,0.9837
040029,0.9958
040036,0.9912
040039,0.9833
040041,0.9974
040042,0.9922
040047,0.9893
040050,1.0000
040051,0.9917
040055,0.9958
040062,1.0000
040067,0.9955
040069,0.9846
040071,0.9975
040072,0.9936
040074,0.9864
040076,0.9897
040078,0.9807
040080,0.9785
040084,0.9857
040085,0.9842
040088,0.9960
040114,0.9919
040118,0.9889
040119,0.9747
040134,0.9999
040137,0.9959
040147,1.0000
040152,0.9700
040153,1.0000
050002,0.9894
050006,1.0000
050007,1.0000
050008,0.9999
050009,0.9997
050013,1.0000
050014,0.9978
050016,1.0000
050017,0.9993
050018,0.9985
050022,0.9907
050024,0.9995
050025,0.9979
050026,0.9996
050028,1.0000
050030,0.9897
050036,0.9946
050038,0.9990
050039,0.9795
050040,0.9962
050042,1.0000
050043,0.9909
050045,0.9910
050046,1.0000
050047,0.9999
050054,0.9979
050055,0.9978
050056,0.9967
050057,1.0000
050058,0.9839
050060,0.9957
050063,0.9918
050067,0.9971
050069,0.9994
050070,1.0000
050071,0.9992
050072,1.0000
050073,1.0000
050075,0.9995
050076,0.9994
050077,0.9945
050078,0.9977
050079,0.9940
050082,0.9928
050084,0.9998
050089,0.9994
050090,1.0000
050091,0.9882
050093,0.9938
050096,1.0000
050099,0.9964
050100,0.9997
050101,0.9987
050102,0.9922
050103,0.9972
050104,1.0000
050107,1.0000
050108,0.9995
050110,0.9999
050111,1.0000
050112,0.9892
050113,1.0000
050115,1.0000
050116,0.9968
050118,0.9901
050121,0.9945
050122,0.9810
050124,0.9994
050125,0.9935
050126,0.9861
050127,0.9988
050128,0.9994
050129,0.9980
